DP Identifier,MSCIWorldTRI,TOP40,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
Date,MSCIWorldTRI Index,TOP40 Index,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
19/05/2021,12684.86,59776.91,3.510343,3.117579,3.244713,3.432343
20/05/2021,12823.8,60068.05,3.504372,3.114276,3.240182,3.422593
21/05/2021,12828.31,60210,3.50973,3.119826,3.245564,3.425429
24/05/2021,12932.22,60056.92,3.498308,3.114064,3.236819,3.418797
25/05/2021,12929.13,60106.11,3.503372,3.119049,3.241915,3.419146
26/05/2021,12946.81,60093.24,3.502872,3.119152,3.241714,3.418358
27/05/2021,12952.86,60802.01,3.524509,3.128443,3.257427,3.430763
28/05/2021,12992.18,61345.49,3.552182,3.145168,3.279934,3.456425
31/05/2021,12976.58,61782.86,3.561937,3.151105,3.28802,3.462446
01/06/2021,13004.12,62698.9,3.58541,3.165899,3.307032,3.479809
02/06/2021,13022.93,62786.67,3.589038,3.167174,3.309835,3.478928
03/06/2021,12967.81,61573.32,3.560367,3.151593,3.287412,3.455882
04/06/2021,13074.8,61616.8,3.552391,3.144828,3.280139,3.441989
07/06/2021,13091.02,61387.75,3.551896,3.149589,3.282172,3.439918
08/06/2021,13095.04,61452.39,3.556681,3.156753,3.288141,3.448982
09/06/2021,13072.85,61433.18,3.567521,3.162819,3.296649,3.458266
10/06/2021,13120.63,61291.03,3.572622,3.164657,3.299964,3.463853
11/06/2021,13143.63,61444.66,3.576417,3.170566,3.30476,3.469486
14/06/2021,13177.2,61653.75,3.594177,3.181131,3.318847,3.489076
15/06/2021,13166.54,61061.79,3.574397,3.169333,3.30303,3.478186
17/06/2021,13076.58,60399.88,3.563841,3.165391,3.295487,3.485678
18/06/2021,12892.29,59503.87,3.551283,3.164112,3.288454,3.481854
21/06/2021,13014.88,59472.25,3.51962,3.139165,3.259965,3.454915
22/06/2021,13097.97,59493.46,3.530871,3.149006,3.270373,3.474638
23/06/2021,13084.48,59764.05,3.53777,3.151409,3.275113,3.469594
